접수연도,자치구코드,자치구명,법정동코드,법정동명,지번구분,지번구분명,본번,부번,건물명,계약일,물건금액(만원),건물면적(㎡),토지면적(㎡),층,권리구분,취소일,건축년도,건물용도,신고구분,신고한 개업공인중개사 시군구명,방,욕실,주차,초등학교,가까운 역,역까지의 거리
2022,11680,강남구,11800,도곡동,1.0,대지,467.0,19.0,현대비젼21,20211231,45000,32.65,0.0,18.0,,,1999.0,아파트,중개거래,서울 강남구,2.0,1.0,1.25,592.0,매봉역 3호선,410.0
2022,11680,강남구,11800,도곡동,1.0,대지,467.0,19.0,현대비젼21,20211231,45000,32.65,0.0,18.0,,,1999.0,아파트,중개거래,서울 강남구,2.0,1.0,1.25,592.0,매봉역 3호선,410.0
2022,11680,강남구,10300,개포동,1.0,대지,1280.0,0.0,래미안블레스티지,20211231,316000,84.94,0.0,16.0,,,2019.0,아파트,중개거래,서울 강남구,0.0,0.0,1.25,592.0,개포동역 수인분당선,891.0
2022,11680,강남구,10300,개포동,1.0,대지,1280.0,0.0,래미안블레스티지,20211231,316000,84.94,0.0,16.0,,,2019.0,아파트,중개거래,서울 강남구,3.0,2.0,1.61,770.0,개포동역 수인분당선,891.0
2022,11680,강남구,11800,도곡동,1.0,대지,467.0,19.0,현대비젼21,20211231,45000,32.65,0.0,18.0,,,1999.0,아파트,중개거래,서울 강남구,2.0,1.0,1.25,592.0,매봉역 3호선,410.0
2022,11680,강남구,10300,개포동,1.0,대지,1280.0,0.0,래미안블레스티지,20211231,316000,84.94,0.0,16.0,,,2019.0,아파트,중개거래,서울 강남구,0.0,0.0,1.25,592.0,개포동역 수인분당선,891.0
2022,11680,강남구,10500,삼성동,1.0,대지,108.0,1.0,아셈,20211230,248000,109.32,0.0,5.0,,,2003.0,아파트,중개거래,서울 강남구,0.0,0.0,1.61,770.0,봉은사역 9호선,191.0
2022,11680,강남구,10100,역삼동,1.0,대지,720.0,25.0,대우디오빌,20211230,83000,59.51,0.0,22.0,,,2002.0,아파트,중개거래,서울 강남구,0.0,0.0,1.33,598.0,역삼역 2호선,556.0
2022,11680,강남구,10500,삼성동,1.0,대지,108.0,1.0,아셈,20211230,248000,109.32,0.0,5.0,,,2003.0,아파트,중개거래,서울 강남구,0.0,0.0,0.73,558.0,봉은사역 9호선,191.0
2022,11680,강남구,10500,삼성동,1.0,대지,108.0,1.0,아셈,20211230,248000,109.32,0.0,5.0,,,2003.0,아파트,중개거래,서울 강남구,3.0,2.0,1.33,598.0,봉은사역 9호선,191.0
2022,11680,강남구,10100,역삼동,1.0,대지,713.0,7.0,래미안펜타빌,20211230,326000,138.54,0.0,20.0,,,2007.0,아파트,중개거래,서울 강남구,4.0,2.0,2.3,141.0,선릉역 2호선,453.0
2022,11680,강남구,10100,역삼동,1.0,대지,713.0,7.0,래미안펜타빌,20211230,326000,138.54,0.0,20.0,,,2007.0,아파트,중개거래,서울 강남구,4.0,2.0,2.3,141.0,선릉역 2호선,453.0
2022,11680,강남구,10500,삼성동,1.0,대지,189.0,0.0,래미안라클래시,20211230,357000,84.98,0.0,27.0,,,2021.0,아파트,중개거래,서울 강남구,3.0,2.0,1.83,476.0,청담역 7호선,391.0
2022,11680,강남구,10100,역삼동,1.0,대지,727.0,11.0,프리마빌,20211230,120000,140.73,0.0,5.0,,,2003.0,아파트,직거래,,4.0,2.0,1.52,772.0,역삼역 2호선,452.0
2022,11680,강남구,10100,역삼동,1.0,대지,720.0,25.0,대우디오빌,20211230,83000,59.51,0.0,22.0,,,2002.0,아파트,중개거래,서울 강남구,0.0,0.0,1.52,772.0,역삼역 2호선,556.0
2022,11680,강남구,10500,삼성동,1.0,대지,189.0,0.0,래미안라클래시,20211230,357000,84.98,0.0,27.0,,,2021.0,아파트,중개거래,서울 강남구,3.0,2.0,1.83,476.0,청담역 7호선,391.0
2022,11680,강남구,10100,역삼동,1.0,대지,713.0,7.0,래미안펜타빌,20211230,326000,138.54,0.0,20.0,,,2007.0,아파트,중개거래,서울 강남구,4.0,2.0,2.3,141.0,선릉역 2호선,453.0
2022,11680,강남구,10100,역삼동,1.0,대지,727.0,11.0,프리마빌,20211230,120000,140.73,0.0,5.0,,,2003.0,아파트,직거래,,4.0,2.0,1.52,772.0,역삼역 2호선,452.0
2022,11680,강남구,10100,역삼동,1.0,대지,720.0,25.0,대우디오빌,20211230,83000,59.51,0.0,22.0,,,2002.0,아파트,중개거래,서울 강남구,0.0,0.0,1.52,772.0,역삼역 2호선,556.0
2022,11680,강남구,10100,역삼동,1.0,대지,727.0,11.0,프리마빌,20211230,120000,140.73,0.0,5.0,,,2003.0,아파트,직거래,,4.0,2.0,1.52,772.0,역삼역 2호선,452.0
2022,11680,강남구,10500,삼성동,1.0,대지,189.0,0.0,래미안라클래시,20211230,357000,84.98,0.0,27.0,,,2021.0,아파트,중개거래,서울 강남구,3.0,2.0,1.83,476.0,청담역 7호선,391.0
