접수연도,자치구코드,자치구명,법정동코드,법정동명,지번구분,지번구분명,본번,부번,건물명,계약일,물건금액(만원),건물면적(㎡),토지면적(㎡),층,권리구분,취소일,건축년도,건물용도,신고구분,신고한 개업공인중개사 시군구명
2021,11680,강남구,11800,도곡동,1.0,대지,953.0,1.0,SK허브프리모,20201231,90000,67.57,0.0,5.0,,,2006.0,아파트,,
2021,11680,강남구,11500,수서동,1.0,대지,746.0,0.0,까치마을,20201231,101000,39.6,0.0,10.0,,,1993.0,아파트,,
2021,11680,강남구,11800,도곡동,1.0,대지,467.0,7.0,아카데미스위트1,20201231,208000,122.07,0.0,18.0,,,2004.0,아파트,,
2021,11680,강남구,10100,역삼동,,,,,,20201231,439000,494.42,245.3,,,,2003.0,단독다가구,,
2021,11680,강남구,10100,역삼동,1.0,대지,707.0,1.0,두꺼비빌딩,20201231,20000,34.02,47.83,15.0,,,1990.0,오피스텔,,
2020,11680,강남구,11000,압구정동,1.0,대지,456.0,0.0,"현대6차(78~81,83,84,86,87동)",20201231,397000,144.2,0.0,11.0,,,1978.0,아파트,,
2021,11680,강남구,11200,자곡동,1.0,대지,611.0,0.0,래미안강남힐즈,20201231,178000,91.96,0.0,5.0,,,2014.0,아파트,,
2021,11680,강남구,11800,도곡동,1.0,대지,467.0,29.0,타워팰리스(467-29),20201231,313000,180.31,225.46,4.0,,,2004.0,오피스텔,,
2021,11680,강남구,10400,청담동,1.0,대지,130.0,8.0,더 리버스 청담,20201231,120000,45.09,77.43,10.0,,,2019.0,오피스텔,,
2021,11680,강남구,10400,청담동,1.0,대지,30.0,33.0,청담대림이-편한세상,20201231,215000,113.57,0.0,12.0,,,2002.0,아파트,,
2021,11680,강남구,11000,압구정동,1.0,대지,490.0,0.0,한양1차(영동한양),20201231,184000,49.98,0.0,9.0,,,1977.0,아파트,,
2021,11680,강남구,11400,일원동,1.0,대지,731.0,0.0,한솔마을,20201231,185000,84.73,,2.0,,,1994.0,아파트,,
2021,11680,강남구,10300,개포동,1.0,대지,12.0,0.0,성원대치2단지아파트,20201231,145000,49.86,0.0,7.0,,,1992.0,아파트,,
2021,11680,강남구,10100,역삼동,1.0,대지,664.0,1.0,예일하우스,20201231,31500,24.99,16.38,3.0,,,1996.0,연립다세대,,
2021,11680,강남구,11400,일원동,1.0,대지,734.0,0.0,상록수,20201231,183000,74.54,0.0,1.0,,,1993.0,아파트,,
2021,11680,강남구,10100,역삼동,1.0,대지,664.0,1.0,예일하우스,20201231,31500,24.99,16.37,3.0,,,1996.0,연립다세대,,
2021,11680,강남구,10100,역삼동,1.0,대지,664.0,1.0,예일하우스,20201231,31500,24.99,16.38,3.0,,,1996.0,연립다세대,,
2021,11680,강남구,11800,도곡동,1.0,대지,91.0,5.0,삼성래미안,20201231,290000,122.81,0.0,17.0,,,2001.0,아파트,,
2021,11680,강남구,10100,역삼동,1.0,대지,664.0,1.0,예일하우스,20201231,31233,25.2,17.46,4.0,,,1996.0,연립다세대,,
2021,11680,강남구,10100,역삼동,1.0,대지,664.0,1.0,예일하우스,20201231,31233,25.2,17.46,4.0,,,1996.0,연립다세대,,
2020,11680,강남구,10100,역삼동,1.0,대지,763.0,16.0,래미안그레이튼,20201231,193500,59.97,0.0,19.0,,,2009.0,아파트,,
2021,11680,강남구,10100,역삼동,1.0,대지,664.0,1.0,예일하우스,20201231,36038,29.49,20.44,4.0,,,1996.0,연립다세대,,
2021,11680,강남구,10100,역삼동,1.0,대지,664.0,1.0,예일하우스,20201231,36038,29.49,20.44,4.0,,,1996.0,연립다세대,,
