접수연도,자치구코드,자치구명,법정동코드,법정동명,지번구분,지번구분명,본번,부번,건물명,계약일,물건금액(만원),건물면적(㎡),토지면적(㎡),층,권리구분,취소일,건축년도,건물용도,신고구분,신고한 개업공인중개사 시군구명
2023,11680,강남구,10100,역삼동,1.0,대지,774.0,34.0,리치웰빌라트2차,20230804,60000,47.42,29.78,6.0,,,2017.0,연립다세대,중개거래,서울 강남구
2023,11680,강남구,11800,도곡동,1.0,대지,961.0,0.0,현대아파트1동~3동,20230802,138600,84.96,0.0,7.0,,,1994.0,아파트,직거래,
2023,11680,강남구,10700,신사동,1.0,대지,555.0,34.0,(555-34),20230802,19500,27.01,19.42,2.0,,,2011.0,연립다세대,직거래,
2023,11680,강남구,10100,역삼동,1.0,대지,823.0,26.0,강남역두산위브센티움,20230802,21500,28.71,39.3,5.0,,,2004.0,오피스텔,중개거래,서울 강남구
2023,11680,강남구,11800,도곡동,1.0,대지,953.0,1.0,SK허브프리모,20230730,41000,33.8,0.0,17.0,,,2006.0,아파트,직거래,
2023,11680,강남구,10300,개포동,1.0,대지,13.0,3.0,대청타워,20230729,25000,32.44,53.94,26.0,,,1997.0,오피스텔,중개거래,서울 강남구
2023,11680,강남구,10300,개포동,1.0,대지,1280.0,0.0,래미안블레스티지,20230729,275000,84.94,0.0,3.0,,,2019.0,아파트,중개거래,"경기 부천시, 서울 강남구"
2023,11680,강남구,10100,역삼동,1.0,대지,735.0,17.0,역삼 푸르지오 시티,20230727,26500,23.9,23.9,14.0,,,2016.0,오피스텔,중개거래,서울 강남구
2023,11680,강남구,11800,도곡동,1.0,대지,869.0,0.0,삼익,20230727,220000,153.71,0.0,3.0,,,1983.0,아파트,중개거래,서울 강남구
2023,11680,강남구,10500,삼성동,1.0,대지,87.0,0.0,아이파크,20230727,590000,156.86,0.0,29.0,,,2004.0,아파트,중개거래,서울 강남구
2023,11680,강남구,11000,압구정동,1.0,대지,397.0,0.0,미성2차,20230727,400000,140.9,0.0,2.0,,,1987.0,아파트,중개거래,서울 강남구
2023,11680,강남구,11000,압구정동,1.0,대지,369.0,1.0,"현대2차(10,11,20,23,24,25동)",20230727,650000,160.28,0.0,15.0,,,1976.0,아파트,중개거래,"경기 성남수정구, 서울 강남구"
2023,11680,강남구,10100,역삼동,1.0,대지,778.0,17.0,선경아트빌,20230727,74500,73.55,34.49,4.0,,,2001.0,연립다세대,중개거래,서울 강남구
2023,11680,강남구,10500,삼성동,,,,,,20230727,360000,292.72,148.3,,,,1991.0,단독다가구,중개거래,서울 강남구
2023,11680,강남구,10100,역삼동,1.0,대지,712.0,5.0,역삼센트럴2차아이파크,20230727,52500,19.69,0.0,5.0,,,2022.0,아파트,중개거래,서울 강남구
2023,11680,강남구,10800,논현동,1.0,대지,171.0,16.0,논현밸류,20230726,17500,15.12,12.56,2.0,,,2015.0,연립다세대,중개거래,서울 강남구
2023,11680,강남구,11200,자곡동,1.0,대지,662.0,0.0,강남 지웰홈스,20230726,12700,20.06,27.87,4.0,,,2014.0,오피스텔,중개거래,경기 이천시
2023,11680,강남구,10100,역삼동,1.0,대지,708.0,26.0,에스케이허브 오피스텔,20230725,27900,27.83,37.11,9.0,,,2004.0,오피스텔,중개거래,서울 강남구
2023,11680,강남구,10300,개포동,1.0,대지,189.0,0.0,개포자이프레지던스,20230725,190000,59.98,0.0,5.0,,,2023.0,아파트,중개거래,서울 강남구
2023,11680,강남구,10100,역삼동,1.0,대지,780.0,46.0,역삼다산빌라,20230725,49000,29.12,18.71,2.0,,,2016.0,연립다세대,중개거래,서울 서초구
2023,11680,강남구,10100,역삼동,1.0,대지,781.0,18.0,하우징허브,20230725,49500,28.36,17.3,4.0,,,2018.0,연립다세대,중개거래,서울 강남구
2023,11680,강남구,10300,개포동,1.0,대지,1236.0,1.0,노블하임,20230724,40000,29.79,16.04,6.0,,,2018.0,연립다세대,중개거래,서울 관악구
2023,11680,강남구,10100,역삼동,1.0,대지,774.0,33.0,뮤지컬파크,20230724,61000,50.52,31.6,5.0,,,2015.0,연립다세대,중개거래,서울 강남구
2023,11680,강남구,11400,일원동,1.0,대지,731.0,0.0,한솔마을,20230724,130000,84.73,0.0,5.0,,,1994.0,아파트,직거래,
2023,11680,강남구,11800,도곡동,1.0,대지,963.0,0.0,럭키(963),20230723,225000,124.66,0.0,3.0,,,1995.0,아파트,중개거래,서울 강남구
2023,11680,강남구,11500,수서동,1.0,대지,795.0,0.0,강남데시앙포레,20230722,165000,84.86,0.0,4.0,,,2014.0,아파트,중개거래,서울 강남구
2023,11680,강남구,11000,압구정동,1.0,대지,493.0,0.0,한양2,20230722,530000,147.41,0.0,12.0,,,1978.0,아파트,중개거래,서울 강남구
2023,11680,강남구,10500,삼성동,1.0,대지,157.0,18.0,(157-18),20230721,19900,26.33,26.33,8.0,,,1999.0,오피스텔,중개거래,서울 강남구
2023,11680,강남구,10800,논현동,1.0,대지,6.0,21.0,세양 APEX-TOWER,20230721,21500,26.91,34.48,10.0,,,2003.0,오피스텔,중개거래,서울 서초구
2023,11680,강남구,10300,개포동,1.0,대지,12.0,0.0,성원대치2단지아파트,20230721,129000,49.86,0.0,1.0,,,1992.0,아파트,중개거래,서울 강남구
2023,11680,강남구,10800,논현동,1.0,대지,105.0,0.0,동현아파트1~6,20230721,203000,84.92,0.0,4.0,,,1985.0,아파트,중개거래,서울 강남구
2023,11680,강남구,10500,삼성동,1.0,대지,142.0,3.0,LG선릉에클라트(B),20230721,30000,36.35,0.0,12.0,,,2004.0,아파트,중개거래,서울 강남구
2023,11680,강남구,11800,도곡동,1.0,대지,965.0,0.0,중명하니빌,20230720,37000,34.1,0.0,4.0,,,1997.0,아파트,중개거래,서울 강남구
2023,11680,강남구,11800,도곡동,1.0,대지,467.0,0.0,타워팰리스1,20230720,430000,164.97,0.0,16.0,,,2002.0,아파트,중개거래,서울 강남구
2023,11680,강남구,10600,대치동,1.0,대지,316.0,0.0,은마,20230720,264000,84.43,0.0,9.0,,,1979.0,아파트,중개거래,서울 강남구
2023,11680,강남구,11100,세곡동,1.0,대지,616.0,0.0,강남 드림하이 오피스텔,20230720,35000,40.92,59.06,8.0,,,2018.0,오피스텔,중개거래,서울 강남구
2023,11680,강남구,10600,대치동,1.0,대지,66.0,0.0,"쌍용대치아파트1동,2동,3동,5동,6동",20230720,300000,128.03,0.0,4.0,,,1983.0,아파트,중개거래,서울 강남구
2023,11680,강남구,10600,대치동,1.0,대지,890.0,59.0,선릉역 롯데골드로즈2,20230720,37200,40.17,56.1,21.0,,,2004.0,오피스텔,중개거래,서울 강남구
2023,11680,강남구,10500,삼성동,1.0,대지,140.0,3.0,선릉대림아크로텔,20230719,40000,37.71,46.94,2.0,,,2004.0,오피스텔,중개거래,서울 강남구
2023,11680,강남구,11200,자곡동,1.0,대지,651.0,0.0,강남유탑유블레스,20230719,16000,26.78,33.94,2.0,,,2014.0,오피스텔,중개거래,서울 강남구
2023,11680,강남구,10100,역삼동,1.0,대지,777.0,14.0,드림하우스,20230719,31000,30.72,16.53,3.0,,,2000.0,연립다세대,중개거래,서울 강남구
2023,11680,강남구,10100,역삼동,1.0,대지,781.0,28.0,(781-28),20230719,32200,26.01,11.89,5.0,,,2011.0,연립다세대,중개거래,서울 강남구
2023,11680,강남구,10700,신사동,1.0,대지,607.0,17.0,백조빌라,20230719,92000,49.62,62.79,1.0,,,1981.0,연립다세대,중개거래,서울 강남구
2023,11680,강남구,10100,역삼동,1.0,대지,777.0,30.0,한빛위너스,20230719,44000,29.09,18.85,6.0,,,2016.0,연립다세대,중개거래,"서울 강남구, 서울 서초구"
2023,11680,강남구,11000,압구정동,1.0,대지,456.0,0.0,"현대7차(73~77,82,85동)",20230719,515000,144.2,0.0,11.0,,,1979.0,아파트,중개거래,서울 강남구
2023,11680,강남구,10600,대치동,1.0,대지,891.0,23.0,대치동 대우아이빌 명문가,20230719,24800,34.2,43.39,2.0,,,2004.0,오피스텔,중개거래,서울 강남구
2023,11680,강남구,11500,수서동,1.0,대지,746.0,0.0,까치마을,20230718,91000,39.6,0.0,8.0,,,1993.0,아파트,중개거래,"서울 강남구, 서울 강서구"
2023,11680,강남구,10600,대치동,1.0,대지,1029.0,0.0,대치SKVIEW,20230718,320000,93.4,0.0,4.0,,,2017.0,아파트,중개거래,서울 강남구
2023,11680,강남구,10100,역삼동,1.0,대지,781.0,28.0,(781-28),20230718,37500,33.31,15.44,5.0,,,2011.0,연립다세대,중개거래,서울 강남구
2023,11680,강남구,11400,일원동,1.0,대지,622.0,6.0,휴먼하우스2차,20230717,79000,25.93,23.4,2.0,,,2022.0,연립다세대,중개거래,서울 강남구
2023,11680,강남구,10100,역삼동,1.0,대지,832.0,7.0,황화빌딩,20230717,20000,27.9,41.06,12.0,,,1991.0,오피스텔,중개거래,서울 강남구
2023,11680,강남구,10700,신사동,1.0,대지,556.0,15.0,CASA-556,20230717,22000,21.95,14.8,-1.0,,,1993.0,연립다세대,중개거래,"서울 강남구, 서울 성동구"
2023,11680,강남구,11800,도곡동,1.0,대지,462.0,0.0,럭키(462),20230716,214000,79.89,0.0,2.0,,,1986.0,아파트,중개거래,서울 강남구
