접수연도,자치구코드,자치구명,법정동코드,법정동명,지번구분,지번구분명,본번,부번,건물명,계약일,물건금액(만원),건물면적(㎡),토지면적(㎡),층,권리구분,취소일,건축년도,건물용도,신고구분,신고한 개업공인중개사 시군구명,방,욕실,주차,초등학교,가까운 역,역까지의 거리
2023,11680,강남구,11800,도곡동,1.0,대지,961.0,0.0,현대아파트1동~3동,20230802,138600,84.96,0.0,7.0,,,1994.0,아파트,직거래,,3.0,2.0,1.5,358,양재역 3호선,594.0
2023,11680,강남구,11800,도곡동,1.0,대지,953.0,1.0,SK허브프리모,20230730,41000,33.8,0.0,17.0,,,2006.0,아파트,직거래,,1.0,1.0,1.48,278,양재역 3호선,84.0
2023,11680,강남구,10300,개포동,1.0,대지,1280.0,0.0,래미안블레스티지,20230729,275000,84.94,0.0,3.0,,,2019.0,아파트,중개거래,"경기 부천시, 서울 강남구",3.0,2.0,1.61,770,개포동역 수인분당선,891.0
2023,11680,강남구,11800,도곡동,1.0,대지,869.0,0.0,삼익,20230727,220000,153.71,0.0,3.0,,,1983.0,아파트,중개거래,서울 강남구,5.0,2.0,1.1,672,매봉역 3호선,580.0
2023,11680,강남구,10500,삼성동,1.0,대지,87.0,0.0,아이파크,20230727,590000,156.86,0.0,29.0,,,2004.0,아파트,중개거래,서울 강남구,3.0,2.0,2.79,294,봉은사역 9호선,454.0
2023,11680,강남구,11000,압구정동,1.0,대지,397.0,0.0,미성2차,20230727,400000,140.9,0.0,2.0,,,1987.0,아파트,중개거래,서울 강남구,4.0,2.0,1.19,440,신사역 3호선,853.0
2023,11680,강남구,11000,압구정동,1.0,대지,369.0,1.0,"현대2차(10,11,20,23,24,25동)",20230727,650000,160.28,0.0,15.0,,,1976.0,아파트,중개거래,"경기 성남수정구, 서울 강남구",5.0,2.0,0.75,357,압구정역 3호선,727.0
2023,11680,강남구,10100,역삼동,1.0,대지,712.0,5.0,역삼센트럴2차아이파크,20230727,52500,19.69,0.0,5.0,,,2022.0,아파트,중개거래,서울 강남구,1.0,1.0,0.71,262,선릉역 2호선,545.0
2023,11680,강남구,10300,개포동,1.0,대지,189.0,0.0,개포자이프레지던스,20230725,190000,59.98,0.0,5.0,,,2023.0,아파트,중개거래,서울 강남구,1.0,1.0,1.74,592,대모산입구역 수인분당선,579.0
2023,11680,강남구,11400,일원동,1.0,대지,731.0,0.0,한솔마을,20230724,130000,84.73,0.0,5.0,,,1994.0,아파트,직거래,,3.0,2.0,2.0,781,일원역 3호선,596.0
2023,11680,강남구,11800,도곡동,1.0,대지,963.0,0.0,럭키(963),20230723,225000,124.66,0.0,3.0,,,1995.0,아파트,중개거래,서울 강남구,4.0,2.0,0.98,524,매봉역 3호선,710.0
2023,11680,강남구,11500,수서동,1.0,대지,795.0,0.0,강남데시앙포레,20230722,165000,84.86,0.0,4.0,,,2014.0,아파트,중개거래,서울 강남구,3.0,2.0,1.2,671,일원역 3호선,683.0
2023,11680,강남구,11000,압구정동,1.0,대지,493.0,0.0,한양2,20230722,530000,147.41,0.0,12.0,,,1978.0,아파트,중개거래,서울 강남구,5.0,2.0,0.49,462,압구정로데오역 수인분당선,255.0
2023,11680,강남구,10300,개포동,1.0,대지,12.0,0.0,성원대치2단지아파트,20230721,129000,49.86,0.0,1.0,,,1992.0,아파트,중개거래,서울 강남구,5.0,3.0,1.74,592,대청역 3호선,384.0
2023,11680,강남구,10800,논현동,1.0,대지,105.0,0.0,동현아파트1~6,20230721,203000,84.92,0.0,4.0,,,1985.0,아파트,중개거래,서울 강남구,3.0,2.0,1.74,592,학동역 7호선,692.0
2023,11680,강남구,10500,삼성동,1.0,대지,142.0,3.0,LG선릉에클라트(B),20230721,30000,36.35,0.0,12.0,,,2004.0,아파트,중개거래,서울 강남구,1.0,1.0,0.54,822,선릉역 2호선,254.0
2023,11680,강남구,11800,도곡동,1.0,대지,965.0,0.0,중명하니빌,20230720,37000,34.1,0.0,4.0,,,1997.0,아파트,중개거래,서울 강남구,1.0,1.0,0.53,174,양재역 3호선,447.0
2023,11680,강남구,11800,도곡동,1.0,대지,467.0,0.0,타워팰리스1,20230720,430000,164.97,0.0,16.0,,,2002.0,아파트,중개거래,서울 강남구,3.0,2.0,2.85,414,도곡역 3호선,319.0
2023,11680,강남구,10600,대치동,1.0,대지,316.0,0.0,은마,20230720,264000,84.43,0.0,9.0,,,1979.0,아파트,중개거래,서울 강남구,4.0,2.0,0.68,360,대치역 3호선,374.0
2023,11680,강남구,10600,대치동,1.0,대지,66.0,0.0,"쌍용대치아파트1동,2동,3동,5동,6동",20230720,300000,128.03,0.0,4.0,,,1983.0,아파트,중개거래,서울 강남구,0.0,0.0,2.85,414,학여울역 3호선,132.0
2023,11680,강남구,11000,압구정동,1.0,대지,456.0,0.0,"현대7차(73~77,82,85동)",20230719,515000,144.2,0.0,11.0,,,1979.0,아파트,중개거래,서울 강남구,0.0,0.0,1.06,888,압구정역 3호선,383.0
2023,11680,강남구,11500,수서동,1.0,대지,746.0,0.0,까치마을,20230718,91000,39.6,0.0,8.0,,,1993.0,아파트,중개거래,"서울 강남구, 서울 강서구",2.0,1.0,1.0,178,일원역 3호선,319.0
2023,11680,강남구,10600,대치동,1.0,대지,1029.0,0.0,대치SKVIEW,20230718,320000,93.4,0.0,4.0,,,2017.0,아파트,중개거래,서울 강남구,3.0,2.0,1.76,608,대치역 3호선,289.0
2023,11680,강남구,11800,도곡동,1.0,대지,462.0,0.0,럭키(462),20230716,214000,79.89,0.0,2.0,,,1986.0,아파트,중개거래,서울 강남구,0.0,0.0,1.58,114,매봉역 3호선,93.0
2023,11680,강남구,11400,일원동,1.0,대지,718.0,0.0,샘터마을,20230716,250000,134.44,0.0,13.0,,,1994.0,아파트,중개거래,서울 강남구,4.0,2.0,1.51,355,일원역 3호선,138.0
2023,11680,강남구,10500,삼성동,1.0,대지,4.0,6.0,삼성동한솔아파트,20230715,125000,58.57,0.0,1.0,,,1998.0,아파트,중개거래,서울 강남구,0.0,0.0,1.01,734,강남구청역 7호선,371.0
2023,11680,강남구,11800,도곡동,1.0,대지,527.0,0.0,도곡렉슬,20230715,180000,59.98,0.0,22.0,,,2006.0,아파트,중개거래,서울 강남구,2.0,1.0,1.48,262,한티역 수인분당선,369.0
2023,11680,강남구,11400,일원동,1.0,대지,611.0,1.0,디에이치자이개포,20230715,369000,118.68,0.0,9.0,,,2021.0,아파트,중개거래,"서울 강남구, 서울 서초구",0.0,0.0,1.0,269,,
2023,11680,강남구,10600,대치동,1.0,대지,63.0,0.0,"대치우성아파트1동,2동,3동,5동,6동,7동",20230715,270000,115.59,0.0,3.0,,,1984.0,아파트,중개거래,서울 강남구,0.0,0.0,1.0,269,학여울역 3호선,412.0
2023,11680,강남구,10100,역삼동,1.0,대지,755.0,4.0,e-편한세상,20230715,184000,59.61,0.0,4.0,,,2005.0,아파트,중개거래,"서울 강남구, 서울 마포구",3.0,2.0,1.01,253,한티역 수인분당선,385.0
2023,11680,강남구,11400,일원동,1.0,대지,719.0,0.0,푸른마을아파트101동~111동,20230715,134500,59.76,0.0,8.0,,,1994.0,아파트,중개거래,서울 강남구,3.0,1.0,1.0,481,일원역 3호선,288.0
2023,11680,강남구,10600,대치동,1.0,대지,316.0,0.0,은마,20230714,244000,84.43,0.0,1.0,,,1979.0,아파트,중개거래,서울 강남구,4.0,2.0,0.68,360,대치역 3호선,374.0
2023,11680,강남구,11200,자곡동,1.0,대지,602.0,0.0,강남자곡아이파크,20230714,100000,59.96,0.0,6.0,,,2014.0,아파트,직거래,,3.0,2.0,1.22,343,수서역,1210.0
2023,11680,강남구,10300,개포동,1.0,대지,12.0,0.0,삼익대청아파트,20230714,132000,51.12,0.0,11.0,,,1992.0,아파트,중개거래,서울 강남구,0.0,0.0,1.04,565,대청역 3호선,384.0
2023,11680,강남구,11100,세곡동,1.0,대지,516.0,0.0,세곡리엔파크(3단지),20230713,110000,84.96,0.0,5.0,,,2011.0,아파트,직거래,,3.0,2.0,1.12,108,수서역라르고공인중개사사무소,1287.0
2023,11680,강남구,11400,일원동,1.0,대지,718.0,0.0,샘터마을,20230713,247000,134.44,0.0,11.0,,,1994.0,아파트,중개거래,서울 강남구,4.0,2.0,1.51,355,일원역 3호선,138.0
2023,11680,강남구,10500,삼성동,1.0,대지,7.0,3.0,래미안삼성2차,20230713,229500,84.92,0.0,14.0,,,2007.0,아파트,중개거래,서울 강남구,0.0,0.0,0.85,197,강남구청역 7호선,221.0
2023,11680,강남구,10600,대치동,1.0,대지,66.0,0.0,"쌍용대치아파트1동,2동,3동,5동,6동",20230713,315000,128.03,0.0,9.0,,,1983.0,아파트,중개거래,서울 강남구,0.0,0.0,1.93,488,학여울역 3호선,132.0
2023,11680,강남구,10600,대치동,1.0,대지,1027.0,0.0,래미안대치팰리스,20230713,310000,84.97,0.0,18.0,,,2015.0,아파트,중개거래,서울 강남구,3.0,2.0,1.93,553,대치역 3호선,460.0
2023,11680,강남구,10600,대치동,1.0,대지,1027.0,0.0,래미안대치팰리스,20230713,310000,84.97,0.0,14.0,,,2015.0,아파트,중개거래,서울 강남구,3.0,2.0,1.93,553,대치역 3호선,460.0
2023,11680,강남구,10100,역삼동,1.0,대지,709.0,5.0,테헤란아이파크,20230713,260000,92.62,0.0,15.0,,,2014.0,아파트,중개거래,서울 강남구,3.0,2.0,1.43,267,선릉역 2호선,309.0
2023,11680,강남구,10100,역삼동,1.0,대지,754.0,1.0,역삼푸르지오,20230713,243000,84.91,0.0,12.0,,,2006.0,아파트,중개거래,서울 강남구,3.0,2.0,1.02,360,한티역 수인분당선,565.0
2023,11680,강남구,10300,개포동,1.0,대지,660.0,1.0,디에이치 퍼스티어 아이파크,20230713,130000,59.98,0.0,2.0,분양권,,0.0,아파트,직거래,,3.0,2.0,1.96,154,도곡역 3호선,919.0
2023,11680,강남구,10600,대치동,1.0,대지,316.0,0.0,은마,20230712,222500,76.79,0.0,7.0,,,1979.0,아파트,중개거래,서울 강남구,3.0,1.0,0.68,360,대치역 3호선,374.0
2023,11680,강남구,11000,압구정동,1.0,대지,490.0,0.0,한양1차(영동한양),20230712,270000,63.87,0.0,4.0,,,1977.0,아파트,중개거래,서울 강남구,2.0,1.0,0.59,606,압구정로데오역 수인분당선,349.0
2023,11680,강남구,10300,개포동,1.0,대지,1280.0,0.0,래미안블레스티지,20230712,265000,84.94,0.0,4.0,,,2019.0,아파트,중개거래,서울 강남구,0.0,0.0,1.06,888,개포동역 수인분당선,891.0
2023,11680,강남구,10600,대치동,1.0,대지,974.0,0.0,대치현대,20230712,205000,85.0,0.0,5.0,,,1999.0,아파트,중개거래,서울 강남구,3.0,2.0,1.12,386,대치역 3호선,729.0
2023,11680,강남구,11000,압구정동,1.0,대지,490.0,0.0,한양1차(영동한양),20230712,360000,91.21,0.0,4.0,,,1977.0,아파트,중개거래,서울 강남구,4.0,2.0,0.59,606,압구정로데오역 수인분당선,349.0
2023,11680,강남구,11000,압구정동,1.0,대지,397.0,0.0,미성2차,20230712,373000,118.63,0.0,6.0,,,1987.0,아파트,중개거래,"서울 강남구, 서울 양천구",4.0,2.0,1.19,440,신사역 3호선,853.0
2023,11680,강남구,10500,삼성동,1.0,대지,189.0,0.0,래미안라클래시,20230711,289000,71.9,0.0,28.0,,,2021.0,아파트,중개거래,서울 강남구,,,,,청담역 7호선,391.0
2023,11680,강남구,11000,압구정동,1.0,대지,447.0,0.0,"현대14차(203,204,205,206동)",20230711,370000,84.98,0.0,2.0,,,1987.0,아파트,중개거래,서울 강남구,3.0,2.0,0.95,417,압구정역 3호선,504.0
2023,11680,강남구,10600,대치동,1.0,대지,503.0,0.0,개포우성1,20230711,295000,84.81,0.0,11.0,,,1983.0,아파트,중개거래,서울 강남구,3.0,1.0,1.2,214,도곡역 3호선,389.0
2023,11680,강남구,11000,압구정동,1.0,대지,433.0,0.0,신현대11차,20230711,640000,183.41,0.0,9.0,,,1983.0,아파트,중개거래,서울 강남구,0.0,0.0,1.83,476,압구정역 3호선,380.0
2023,11680,강남구,10400,청담동,1.0,대지,62.0,6.0,청담디에브스아파트,20230711,83000,67.88,0.0,4.0,,,2017.0,아파트,중개거래,서울 강남구,0.0,0.0,1.83,476,청담역 7호선,552.0
2023,11680,강남구,11000,압구정동,1.0,대지,481.0,0.0,현대8차(성수현대:91~95동),20230711,331000,111.5,0.0,8.0,,,1980.0,아파트,중개거래,"서울 강남구, 서울 송파구",3.0,1.0,0.0,964,압구정역 3호선,806.0
2023,11680,강남구,11000,압구정동,1.0,대지,490.0,0.0,한양1차(영동한양),20230711,270000,63.87,0.0,4.0,,,1977.0,아파트,중개거래,서울 강남구,2.0,1.0,0.59,606,압구정로데오역 수인분당선,349.0
2023,11680,강남구,10600,대치동,1.0,대지,670.0,0.0,동부센트레빌,20230711,459000,145.83,0.0,20.0,,,2005.0,아파트,중개거래,서울 강남구,4.0,2.0,2.26,185,도곡역 3호선,202.0
2023,11680,강남구,11400,일원동,1.0,대지,615.0,0.0,우성7,20230710,205000,84.06,0.0,5.0,,,1987.0,아파트,중개거래,"경기 성남수정구, 서울 동대문구",3.0,2.0,0.94,675,대청역 3호선,189.0
2023,11680,강남구,10100,역삼동,1.0,대지,727.0,2.0,대명벨리온,20230710,19000,23.63,0.0,3.0,,,2012.0,아파트,직거래,,1.0,1.0,0.33,804,역삼역 2호선,382.0
2023,11680,강남구,10600,대치동,1.0,대지,316.0,0.0,은마,20230710,226000,76.79,0.0,12.0,,,1979.0,아파트,중개거래,서울 강남구,3.0,1.0,0.68,360,대치역 3호선,374.0
2023,11680,강남구,11400,일원동,1.0,대지,615.0,1.0,개포한신,20230710,180000,107.6,0.0,1.0,,,1984.0,아파트,중개거래,서울 강남구,3.0,1.0,0.8,348,대청역 3호선,271.0
2023,11680,강남구,10400,청담동,1.0,대지,65.0,0.0,진흥아파트,20230710,294000,145.69,0.0,2.0,,,1984.0,아파트,중개거래,서울 강남구,0.0,0.0,2.5,147,청담역 7호선,217.0
2023,11680,강남구,11400,일원동,1.0,대지,731.0,0.0,한솔마을,20230710,182000,84.73,0.0,2.0,,,1994.0,아파트,중개거래,서울 강남구,3.0,2.0,2.0,781,일원역 3호선,596.0
2023,11680,강남구,10600,대치동,1.0,대지,316.0,0.0,은마,20230710,248000,84.43,0.0,12.0,,,1979.0,아파트,중개거래,서울 강남구,4.0,2.0,0.68,360,대치역 3호선,374.0
2023,11680,강남구,10300,개포동,1.0,대지,1280.0,0.0,래미안블레스티지,20230709,202000,59.84,0.0,12.0,,,2019.0,아파트,중개거래,서울 강남구,0.0,0.0,2.5,147,개포동역 수인분당선,891.0
2023,11680,강남구,10600,대치동,1.0,대지,63.0,0.0,"대치우성아파트1동,2동,3동,5동,6동,7동",20230709,263000,115.59,0.0,7.0,,,1984.0,아파트,중개거래,서울 강남구,4.0,2.0,1.61,770,학여울역 3호선,412.0
2023,11680,강남구,11000,압구정동,1.0,대지,456.0,0.0,"현대6차(78~81,83,84,86,87동)",20230708,512000,144.2,0.0,11.0,,,1978.0,아파트,중개거래,서울 강남구,0.0,0.0,1.61,770,압구정역 3호선,383.0
2023,11680,강남구,11400,일원동,1.0,대지,615.0,0.0,우성7,20230708,211000,83.69,0.0,5.0,,,1987.0,아파트,중개거래,서울 강남구,0.0,0.0,0.86,212,대청역 3호선,189.0
2023,11680,강남구,11400,일원동,1.0,대지,742.0,0.0,디에이치포레센트,20230708,194000,59.92,0.0,9.0,,,2021.0,아파트,중개거래,서울 강남구,3.0,2.0,1.77,176,대청역 3호선,391.0
2023,11680,강남구,11400,일원동,1.0,대지,742.0,0.0,디에이치포레센트,20230708,194000,59.92,0.0,8.0,,,2021.0,아파트,중개거래,서울 강남구,3.0,2.0,1.77,176,대청역 3호선,391.0
2023,11680,강남구,10100,역삼동,1.0,대지,754.0,1.0,역삼푸르지오,20230708,187000,59.88,0.0,11.0,,,2006.0,아파트,중개거래,서울 강남구,3.0,2.0,1.02,360,한티역 수인분당선,565.0
2023,11680,강남구,10300,개포동,1.0,대지,660.0,1.0,디에이치 퍼스티어 아이파크,20230708,206000,59.97,0.0,24.0,입주권,,0.0,아파트,중개거래,"경기 부천시, 서울 강남구",3.0,2.0,1.96,154,도곡역 3호선,919.0
2023,11680,강남구,10100,역삼동,1.0,대지,709.0,5.0,테헤란아이파크,20230708,240000,84.64,0.0,4.0,,,2014.0,아파트,중개거래,서울 강남구,3.0,2.0,1.43,267,선릉역 2호선,309.0
2023,11680,강남구,11400,일원동,1.0,대지,741.0,0.0,래미안 개포 루체하임,20230708,188000,59.99,0.0,2.0,,,2018.0,아파트,중개거래,"경기 파주시, 서울 강남구",3.0,2.0,1.53,301,대청역 3호선,480.0
2023,11680,강남구,11000,압구정동,1.0,대지,443.0,0.0,현대3차(61~64동),20230708,350000,82.5,0.0,11.0,,,1976.0,아파트,중개거래,서울 강남구,3.0,1.0,2.0,196,압구정역 3호선,546.0
2023,11680,강남구,11800,도곡동,1.0,대지,527.0,0.0,도곡렉슬,20230708,175000,59.98,0.0,5.0,,,2006.0,아파트,중개거래,서울 강남구,2.0,1.0,1.48,262,한티역 수인분당선,369.0
2023,11680,강남구,10100,역삼동,1.0,대지,763.0,16.0,래미안그레이튼,20230708,221000,70.98,0.0,17.0,,,2009.0,아파트,중개거래,서울 강남구,,,,,한티역 수인분당선,421.0
2023,11680,강남구,11100,세곡동,1.0,대지,516.0,0.0,세곡리엔파크(3단지),20230708,119000,84.96,0.0,4.0,,,2011.0,아파트,중개거래,"서울 강남구, 서울 성동구",3.0,2.0,1.12,108,수서역라르고공인중개사사무소,1287.0
2023,11680,강남구,11400,일원동,1.0,대지,731.0,0.0,한솔마을,20230708,162000,63.76,0.0,2.0,,,1994.0,아파트,중개거래,"서울 강남구, 서울 송파구",3.0,1.0,2.0,781,일원역 3호선,596.0
2023,11680,강남구,10600,대치동,1.0,대지,891.0,26.0,대우아이빌멤버스(891-26),20230708,30000,35.8,0.0,8.0,,,2003.0,아파트,중개거래,서울 강남구,0.0,0.0,1.22,618,선릉역 2호선,423.0
2023,11680,강남구,10300,개포동,1.0,대지,1280.0,0.0,래미안블레스티지,20230708,269000,84.94,0.0,13.0,,,2019.0,아파트,중개거래,서울 강남구,0.0,0.0,1.0,625,개포동역 수인분당선,891.0
