접수연도,자치구코드,자치구명,법정동코드,법정동명,지번구분,지번구분명,본번,부번,건물명,계약일,물건금액(만원),건물면적(㎡),토지면적(㎡),층,권리구분,취소일,건축년도,건물용도,신고구분,신고한 개업공인중개사 시군구명,방,욕실,주차,초등학교,가까운 역,역까지의 거리
2021,11470,양천구,10100,신정동,1.0,대지,326.0,0.0,목동신시가지12,20201231,133000,71.64,,9.0,,,1988.0,아파트,,,3.0,1.0,0.46,377.0,양천구청역 2호선,412.0
2021,11470,양천구,10100,신정동,1.0,대지,1318.0,0.0,이펜하우스5단지,20201231,99000,114.73,0.0,9.0,,,2011.0,아파트,,,4.0,2.0,1.28,338.0,오류동역 주차장,1985.0
2021,11470,양천구,10100,신정동,1.0,대지,337.0,0.0,목동우성2,20201231,126500,113.91,0.0,6.0,,,2000.0,아파트,,,0.0,0.0,1.28,338.0,양천구청역 2호선,520.0
2021,11470,양천구,10300,신월동,1.0,대지,1052.0,0.0,동도센트리움,20201231,59900,69.17,0.0,8.0,,,2007.0,아파트,,,3.0,2.0,1.12,146.0,신정네거리역 2호선,698.0
2021,11470,양천구,10200,목동,1.0,대지,901.0,0.0,목동신시가지1,20201231,159500,65.34,0.0,4.0,,,1985.0,아파트,,,2.0,1.0,0.58,397.0,염창역 9호선,909.0
2021,11470,양천구,10300,신월동,1.0,대지,217.0,2.0,나산,20201230,33400,59.9,0.0,13.0,,,1997.0,아파트,,,3.0,1.0,0.87,661.0,까치산역 5호선,1186.0
2020,11470,양천구,10300,신월동,1.0,대지,485.0,2.0,두원A동,20201230,40500,84.99,0.0,3.0,,,2004.0,아파트,,,3.0,2.0,1.15,386.0,까치산역 5호선,912.0
2021,11470,양천구,10100,신정동,1.0,대지,312.0,0.0,목동신시가지9,20201230,151000,71.37,0.0,14.0,,,1987.0,아파트,,,0.0,0.0,1.15,386.0,목동역 5호선,865.0
2020,11470,양천구,10200,목동,1.0,대지,953.0,0.0,목동두산위브,20201230,81900,112.21,,7.0,,,2005.0,아파트,,,4.0,2.0,1.74,480.0,염창역 9호선,610.0
2021,11470,양천구,10100,신정동,1.0,대지,326.0,0.0,목동신시가지12,20201230,136000,71.64,0.0,7.0,,,1988.0,아파트,,,0.0,0.0,1.74,480.0,양천구청역 2호선,412.0
2020,11470,양천구,10100,신정동,1.0,대지,1279.0,0.0,목동현대3차,20201230,110000,71.16,,17.0,,,1997.0,아파트,,,3.0,1.0,1.02,515.0,오목교역 5호선,490.0
2021,11470,양천구,10200,목동,1.0,대지,904.0,0.0,목동신시가지4,20201230,200000,96.36,0.0,7.0,,,1986.0,아파트,,,3.0,1.0,0.54,426.0,오목교역 5호선,884.0
2021,11470,양천구,10100,신정동,1.0,대지,1277.0,0.0,신트리4,20201230,60000,48.96,0.0,13.0,,,2000.0,아파트,,,2.0,1.0,0.59,310.0,신정네거리역 2호선,1012.0
2021,11470,양천구,10100,신정동,1.0,대지,962.0,18.0,신정동로마,20201230,59700,84.98,0.0,3.0,,,2005.0,아파트,,,3.0,2.0,1.04,532.0,신정역 5호선,162.0
2021,11470,양천구,10200,목동,1.0,대지,904.0,0.0,목동신시가지4,20201229,123500,47.25,0.0,12.0,,,1986.0,아파트,,,2.0,1.0,0.54,426.0,오목교역 5호선,884.0
2020,11470,양천구,10100,신정동,1.0,대지,1273.0,0.0,신정현대5,20201229,89000,114.24,,2.0,,,1999.0,아파트,,,4.0,2.0,1.64,141.0,신정네거리역 2호선,893.0
