접수연도,자치구코드,자치구명,법정동코드,법정동명,지번구분,지번구분명,본번,부번,건물명,계약일,물건금액(만원),건물면적(㎡),토지면적(㎡),층,권리구분,취소일,건축년도,건물용도,신고구분,신고한 개업공인중개사 시군구명
2022,11470,양천구,10300,신월동,1.0,대지,923.0,6.0,새한주택,20211231,36000,36.75,28.83,3.0,,,1989.0,연립다세대,중개거래,서울 양천구
2022,11470,양천구,10300,신월동,1.0,대지,60.0,31.0,한울팰리스,20211231,29500,30.33,39.83,7.0,,,2020.0,오피스텔,직거래,
2021,11470,양천구,10300,신월동,1.0,대지,916.0,4.0,승일빌라(A동),20211231,35200,36.36,34.34,-1.0,,,1987.0,연립다세대,중개거래,서울 양천구
2022,11470,양천구,10300,신월동,1.0,대지,962.0,12.0,녹원빌라2동,20211231,35500,37.21,34.41,2.0,,,1987.0,연립다세대,중개거래,서울 양천구
2021,11470,양천구,10300,신월동,1.0,대지,460.0,23.0,새얀아트빌,20211231,25500,35.84,23.08,3.0,,,2017.0,연립다세대,중개거래,서울 양천구
2022,11470,양천구,10200,목동,1.0,대지,621.0,2.0,이가채(621-2),20211231,35000,53.61,29.21,3.0,,,2013.0,연립다세대,중개거래,서울 양천구
2022,11470,양천구,10300,신월동,1.0,대지,962.0,12.0,녹원빌라2동,20211231,35500,37.21,34.41,2.0,,,1987.0,연립다세대,중개거래,서울 양천구
2022,11470,양천구,10100,신정동,1.0,대지,955.0,24.0,현대빌라B동,20211231,18000,36.89,20.18,2.0,,,1991.0,연립다세대,중개거래,서울 양천구
2022,11470,양천구,10300,신월동,1.0,대지,967.0,5.0,극동빌라(A동),20211231,38000,40.92,29.44,2.0,,,1988.0,연립다세대,중개거래,"서울 성동구, 서울 양천구"
2021,11470,양천구,10300,신월동,1.0,대지,460.0,23.0,새얀아트빌,20211231,25500,35.84,23.08,3.0,,,2017.0,연립다세대,중개거래,서울 양천구
2022,11470,양천구,10200,목동,1.0,대지,516.0,2.0,목동 아가도스 오피스텔,20211231,29500,29.88,40.0,11.0,,,2018.0,오피스텔,중개거래,서울 양천구
2022,11470,양천구,10300,신월동,1.0,대지,962.0,12.0,녹원빌라2동,20211231,35500,37.21,34.41,2.0,,,1987.0,연립다세대,중개거래,서울 양천구
2022,11470,양천구,10300,신월동,1.0,대지,60.0,31.0,한울팰리스,20211231,29500,30.33,39.83,7.0,,,2020.0,오피스텔,직거래,
2022,11470,양천구,10300,신월동,1.0,대지,916.0,2.0,헤리티지빌라,20211231,42000,39.46,26.39,5.0,,,2017.0,연립다세대,중개거래,서울 양천구
2022,11470,양천구,10300,신월동,1.0,대지,967.0,5.0,극동빌라(A동),20211231,38000,40.92,29.44,2.0,,,1988.0,연립다세대,중개거래,"서울 성동구, 서울 양천구"
2022,11470,양천구,10300,신월동,1.0,대지,913.0,9.0,인창빌라5차(나동),20211231,34000,36.96,29.04,-1.0,,,1989.0,연립다세대,중개거래,"서울 강서구, 서울 양천구"
2022,11470,양천구,10200,목동,1.0,대지,621.0,2.0,이가채(621-2),20211231,35000,53.61,29.21,3.0,,,2013.0,연립다세대,중개거래,서울 양천구
2022,11470,양천구,10300,신월동,1.0,대지,928.0,2.0,이지타운,20211231,32000,75.79,42.44,4.0,,,2009.0,연립다세대,직거래,
2022,11470,양천구,10100,신정동,1.0,대지,955.0,24.0,현대빌라B동,20211231,18000,36.89,20.18,2.0,,,1991.0,연립다세대,중개거래,서울 양천구
2022,11470,양천구,10100,신정동,1.0,대지,955.0,24.0,현대빌라B동,20211231,18000,36.89,20.18,2.0,,,1991.0,연립다세대,중개거래,서울 양천구
2022,11470,양천구,10300,신월동,1.0,대지,413.0,1.0,엘리시안(413-1),20211231,29900,49.82,29.96,4.0,,,2013.0,연립다세대,중개거래,서울 양천구
2021,11470,양천구,10300,신월동,1.0,대지,972.0,16.0,현대그린빌라B동,20211231,32500,41.18,28.23,-1.0,,,1987.0,연립다세대,중개거래,서울 양천구
2022,11470,양천구,10300,신월동,1.0,대지,913.0,9.0,인창빌라5차(나동),20211231,34000,36.96,29.04,-1.0,,,1989.0,연립다세대,중개거래,"서울 강서구, 서울 양천구"
2022,11470,양천구,10300,신월동,1.0,대지,60.0,31.0,한울팰리스,20211231,28700,23.03,11.7,3.0,,,2020.0,연립다세대,직거래,
2021,11470,양천구,10300,신월동,1.0,대지,916.0,4.0,승일빌라(A동),20211231,35200,36.36,34.34,-1.0,,,1987.0,연립다세대,중개거래,서울 양천구
