접수연도,자치구코드,자치구명,법정동코드,법정동명,지번구분,지번구분명,본번,부번,건물명,계약일,물건금액(만원),건물면적(㎡),토지면적(㎡),층,권리구분,취소일,건축년도,건물용도,신고구분,신고한 개업공인중개사 시군구명
2023,11470,양천구,10100,신정동,1.0,대지,329.0,0.0,목동신시가지14,20230803,160000,84.87,0.0,7.0,,,1987.0,아파트,중개거래,서울 양천구
2023,11470,양천구,10100,신정동,1.0,대지,973.0,39.0,신성스카이뷰,20230803,34000,26.97,10.22,5.0,,,2020.0,연립다세대,중개거래,서울 중구
2023,11470,양천구,10300,신월동,1.0,대지,231.0,10.0,하나IPARK,20230803,32800,47.0,27.78,6.0,,,2015.0,연립다세대,직거래,
2023,11470,양천구,10100,신정동,1.0,대지,329.0,0.0,목동신시가지14,20230802,140000,71.4,0.0,7.0,,,1987.0,아파트,중개거래,서울 양천구
2023,11470,양천구,10100,신정동,1.0,대지,329.0,0.0,목동신시가지14,20230802,112000,55.02,0.0,13.0,,,1987.0,아파트,중개거래,서울 양천구
2023,11470,양천구,10200,목동,1.0,대지,539.0,7.0,위너스이즈빌,20230801,28650,73.98,43.71,4.0,,,2005.0,연립다세대,직거래,
2023,11470,양천구,10200,목동,1.0,대지,538.0,2.0,서경홈타운,20230801,34000,29.03,19.39,4.0,,,2022.0,연립다세대,직거래,
2023,11470,양천구,10100,신정동,1.0,대지,1296.0,0.0,아이파크,20230731,128500,84.88,0.0,12.0,,,2002.0,아파트,직거래,
2023,11470,양천구,10300,신월동,1.0,대지,96.0,3.0,은하예지움,20230731,28500,57.96,27.38,7.0,,,2010.0,연립다세대,중개거래,서울 강서구
2023,11470,양천구,10200,목동,1.0,대지,315.0,35.0,대흥파크빌(315-35),20230730,19900,51.1,24.03,5.0,,,2003.0,연립다세대,중개거래,서울 양천구
2023,11470,양천구,10300,신월동,1.0,대지,1057.0,1.0,롯데캐슬(1057-1),20230729,75000,84.63,0.0,5.0,,,2010.0,아파트,중개거래,서울 양천구
2023,11470,양천구,10200,목동,1.0,대지,318.0,156.0,하나드림빌,20230729,24000,62.01,27.82,3.0,,,2002.0,연립다세대,중개거래,서울 양천구
2023,11470,양천구,10100,신정동,1.0,대지,311.0,0.0,목동신시가지10,20230728,183000,105.58,0.0,4.0,,,1987.0,아파트,중개거래,서울 양천구
2023,11470,양천구,10200,목동,1.0,대지,911.0,0.0,목동신시가지6,20230728,125000,47.94,0.0,11.0,,,1986.0,아파트,중개거래,서울 양천구
2023,11470,양천구,10300,신월동,1.0,대지,201.0,9.0,해풍빌라,20230727,11300,40.39,20.16,1.0,,,1994.0,연립다세대,중개거래,서울 강서구
