접수연도,자치구코드,자치구명,법정동코드,법정동명,지번구분,지번구분명,본번,부번,건물명,계약일,물건금액(만원),건물면적(㎡),토지면적(㎡),층,권리구분,취소일,건축년도,건물용도,신고구분,신고한 개업공인중개사 시군구명,방,욕실,주차,초등학교,가까운 역,역까지의 거리
2023,11470,양천구,10100,신정동,1.0,대지,329.0,0.0,목동신시가지14,20230803,160000,84.87,0.0,7.0,,,1987.0,아파트,중개거래,서울 양천구,4.0,1.0,0.6,249.0,양천구청역 2호선,587.0
2023,11470,양천구,10100,신정동,1.0,대지,329.0,0.0,목동신시가지14,20230802,140000,71.4,0.0,7.0,,,1987.0,아파트,중개거래,서울 양천구,3.0,1.0,0.6,249.0,양천구청역 2호선,587.0
2023,11470,양천구,10100,신정동,1.0,대지,329.0,0.0,목동신시가지14,20230802,112000,55.02,0.0,13.0,,,1987.0,아파트,중개거래,서울 양천구,0.0,0.0,0.0,0.0,양천구청역 2호선,587.0
2023,11470,양천구,10100,신정동,1.0,대지,1296.0,0.0,아이파크,20230731,128500,84.88,0.0,12.0,,,2002.0,아파트,직거래,,3.0,2.0,1.42,85.0,오목교역 5호선,424.0
2023,11470,양천구,10300,신월동,1.0,대지,1057.0,1.0,롯데캐슬(1057-1),20230729,75000,84.63,0.0,5.0,,,2010.0,아파트,중개거래,서울 양천구,3.0,2.0,1.42,85.0,까치산역 5호선,1071.0
2023,11470,양천구,10100,신정동,1.0,대지,311.0,0.0,목동신시가지10,20230728,183000,105.58,0.0,4.0,,,1987.0,아파트,중개거래,서울 양천구,0.0,0.0,0.6,249.0,신정네거리역 2호선,600.0
2023,11470,양천구,10200,목동,1.0,대지,911.0,0.0,목동신시가지6,20230728,125000,47.94,0.0,11.0,,,1986.0,아파트,중개거래,서울 양천구,2.0,1.0,0.57,277.0,선유도역 9호선,847.0
2023,11470,양천구,10100,신정동,1.0,대지,1273.0,0.0,신정현대5,20230727,101500,114.24,0.0,18.0,,,1999.0,아파트,중개거래,서울 양천구,4.0,2.0,1.64,141.0,신정네거리역 2호선,893.0
2023,11470,양천구,10100,신정동,1.0,대지,314.0,0.0,목동신시가지8,20230726,119500,54.94,0.0,13.0,,,1987.0,아파트,중개거래,서울 양천구,0.0,0.0,1.64,141.0,목동역 5호선,567.0
2023,11470,양천구,10300,신월동,1.0,대지,1077.0,0.0,목동센트럴아이파크위브3단지,20230726,71000,52.85,0.0,17.0,,,2020.0,아파트,중개거래,서울 양천구,0.0,0.0,0.45,270.0,신정네거리역 2호선,740.0
2023,11470,양천구,10100,신정동,1.0,대지,326.0,0.0,목동신시가지12,20230726,110500,53.46,0.0,12.0,,,1988.0,아파트,중개거래,서울 양천구,0.0,0.0,0.45,270.0,양천구청역 2호선,412.0
2023,11470,양천구,10200,목동,1.0,대지,904.0,0.0,목동신시가지4,20230726,119000,47.25,0.0,13.0,,,1986.0,아파트,중개거래,서울 양천구,2.0,1.0,0.54,426.0,오목교역 5호선,884.0
2023,11470,양천구,10100,신정동,1.0,대지,325.0,0.0,목동신시가지11,20230726,107000,51.48,0.0,4.0,,,1988.0,아파트,중개거래,서울 양천구,0.0,0.0,0.54,426.0,양천구청역 2호선,647.0
2023,11470,양천구,10300,신월동,1.0,대지,1077.0,0.0,목동센트럴아이파크위브3단지,20230724,92000,84.98,0.0,7.0,,,2020.0,아파트,중개거래,서울 동대문구,2.0,1.0,0.4,281.0,신정네거리역 2호선,740.0
2023,11470,양천구,10100,신정동,1.0,대지,311.0,0.0,목동신시가지10,20230724,132000,70.2,0.0,7.0,,,1987.0,아파트,중개거래,서울 양천구,3.0,1.0,0.64,256.0,신정네거리역 2호선,600.0
2023,11470,양천구,10300,신월동,1.0,대지,1075.0,0.0,목동센트럴아이파크위브1단지,20230723,102000,84.97,0.0,8.0,,,2020.0,아파트,중개거래,서울 양천구,3.0,2.0,1.16,107.0,신정네거리역 2호선,1048.0
2023,11470,양천구,10200,목동,1.0,대지,908.0,28.0,부영2,20230722,156000,123.08,0.0,12.0,,,2000.0,아파트,중개거래,서울 양천구,3.0,2.0,2.43,601.0,신목동역 9호선,897.0
2023,11470,양천구,10200,목동,1.0,대지,956.0,0.0,롯데캐슬위너,20230722,96500,59.98,0.0,14.0,,,2005.0,아파트,중개거래,"경기 광명시, 서울 양천구",4.0,2.0,2.43,601.0,등촌역 9호선,454.0
2023,11470,양천구,10300,신월동,1.0,대지,1076.0,0.0,목동센트럴아이파크위브2단지,20230722,103000,84.97,0.0,20.0,,,2020.0,아파트,중개거래,서울 양천구,3.0,2.0,1.34,839.0,신정네거리역 2호선,1063.0
2023,11470,양천구,10200,목동,1.0,대지,911.0,0.0,목동신시가지6,20230722,121000,47.94,0.0,10.0,,,1986.0,아파트,중개거래,서울 양천구,,,,,선유도역 9호선,847.0
2023,11470,양천구,10200,목동,1.0,대지,911.0,0.0,목동신시가지6,20230722,154000,65.1,0.0,6.0,,,1986.0,아파트,중개거래,서울 양천구,2.0,1.0,0.57,277.0,선유도역 9호선,847.0
2023,11470,양천구,10300,신월동,1.0,대지,1077.0,0.0,목동센트럴아이파크위브3단지,20230722,70000,52.85,0.0,16.0,,,2020.0,아파트,중개거래,서울 양천구,0.0,0.0,0.57,277.0,신정네거리역 2호선,740.0
2023,11470,양천구,10200,목동,1.0,대지,904.0,0.0,목동신시가지4,20230721,150000,67.58,0.0,13.0,,,1986.0,아파트,중개거래,서울 양천구,2.0,1.0,0.54,426.0,오목교역 5호선,884.0
2023,11470,양천구,10300,신월동,1.0,대지,1022.0,0.0,벽산블루밍1단지,20230721,60000,59.95,0.0,10.0,,,2003.0,아파트,중개거래,서울 양천구,3.0,2.0,1.01,319.0,신정네거리역 2호선,1196.0
2023,11470,양천구,10100,신정동,1.0,대지,326.0,0.0,목동신시가지12,20230721,139000,71.64,0.0,14.0,,,1988.0,아파트,중개거래,서울 양천구,0.0,0.0,1.01,319.0,양천구청역 2호선,412.0
2023,11470,양천구,10200,목동,1.0,대지,951.0,0.0,금호어울림,20230721,105000,84.99,0.0,8.0,,,2004.0,아파트,중개거래,서울 양천구,3.0,2.0,1.52,396.0,목동역 5호선,884.0
2023,11470,양천구,10200,목동,1.0,대지,902.0,0.0,목동신시가지2,20230721,221000,122.31,0.0,1.0,,,1986.0,아파트,중개거래,서울 양천구,4.0,1.0,0.79,279.0,염창역 9호선,1059.0
2023,11470,양천구,10100,신정동,1.0,대지,1283.0,0.0,푸른마을3,20230720,55500,59.99,0.0,10.0,,,2001.0,아파트,중개거래,서울 양천구,3.0,1.0,0.95,140.0,신정네거리역 2호선,1719.0
2023,11470,양천구,10100,신정동,1.0,대지,1277.0,0.0,신트리4,20230720,52500,48.96,0.0,15.0,,,2000.0,아파트,중개거래,서울 양천구,2.0,1.0,0.59,310.0,신정네거리역 2호선,1012.0
2023,11470,양천구,10200,목동,1.0,대지,912.0,0.0,목동신시가지5,20230720,253500,143.36,0.0,4.0,,,1986.0,아파트,중개거래,서울 양천구,0.0,0.0,0.59,310.0,양평역 5호선,1022.0
2023,11470,양천구,10200,목동,1.0,대지,904.0,0.0,목동신시가지4,20230720,196000,96.36,0.0,6.0,,,1986.0,아파트,중개거래,서울 양천구,3.0,1.0,0.54,426.0,오목교역 5호선,884.0
2023,11470,양천구,10200,목동,1.0,대지,965.0,0.0,목동롯데캐슬마에스트로,20230719,102000,59.98,0.0,12.0,,,2019.0,아파트,중개거래,서울 양천구,3.0,2.0,1.18,543.0,등촌역 9호선,585.0
2023,11470,양천구,10100,신정동,1.0,대지,329.0,0.0,목동신시가지14,20230718,215000,129.33,0.0,5.0,,,1987.0,아파트,중개거래,서울 양천구,4.0,2.0,0.6,249.0,양천구청역 2호선,587.0
2023,11470,양천구,10300,신월동,1.0,대지,602.0,3.0,청정,20230718,60000,131.67,0.0,6.0,,,2004.0,아파트,중개거래,서울 양천구,4.0,2.0,1.15,462.0,신정네거리역 2호선,660.0
2023,11470,양천구,10200,목동,1.0,대지,929.0,0.0,목동청구한신아파트,20230717,141000,84.76,0.0,14.0,,,1997.0,아파트,중개거래,서울 양천구,3.0,2.0,0.89,153.0,신목동역 9호선,338.0
2023,11470,양천구,10100,신정동,1.0,대지,1259.0,0.0,신트리1,20230717,59500,49.95,0.0,4.0,,,1999.0,아파트,중개거래,서울 양천구,2.0,1.0,0.56,316.0,신정네거리역 2호선,723.0
